resolution,cause,effect,lag,test_statistic,p_value,df,error_msg,p_adj,significant
daily,XLE,XLV,1,6.677540715291606,0.009765567892959959,"(1, 68700)",,0.04185243382697125,True
daily,XLE,XLY,1,4.392085717530113,0.03610976757027722,"(1, 68700)",,0.10828409932359478,False
daily,XLE,XLP,1,1.9397913900316732,0.16369569353176103,"(1, 68700)",,0.3202741829969238,False
daily,XLE,XLU,1,3.5261276438316522,0.06041295227175974,"(1, 68700)",,0.1647625971047993,False
daily,XLE,^GSPC,1,0.10978599895844736,0.7403889151768246,"(1, 68700)",,0.8901884104548178,False
daily,XLI,XLF,1,8.91715815979224,0.002826033373147445,"(1, 68700)",,0.016956200238884674,True
daily,XLI,XLB,1,4.336927522916707,0.03729785643368265,"(1, 68700)",,0.10828409932359478,False
daily,XLI,XLE,1,12.269179601184621,0.00046079311708384065,"(1, 68700)",,0.0030966462306906938,True
daily,XLI,XLK,1,0.7624338822352273,0.3825709690004133,"(1, 68700)",,0.5644489706563475,False
daily,XLI,XLV,1,0.22883731271051294,0.632388809095284,"(1, 68700)",,0.8369851885084643,False
daily,XLI,XLY,1,1.0031025124823019,0.31656448102829243,"(1, 68700)",,0.49122074642321234,False
daily,XLI,XLP,1,5.315589379066792,0.02113840707326017,"(1, 68700)",,0.07046135691086723,False
daily,XLI,XLU,1,7.355186271498891,0.006688621728817238,"(1, 68700)",,0.030098797779677573,True
daily,XLI,^GSPC,1,6.05171623696373,0.013895230766539072,"(1, 68700)",,0.0543726421299355,False
daily,XLK,XLF,1,0.006536333068048623,0.9355633947890015,"(1, 68700)",,0.9580886540099957,False
daily,XLK,XLB,1,5.383178381609184,0.02033471892931187,"(1, 68700)",,0.07046135691086723,False
daily,XLK,XLE,1,13.832692831661893,0.00019998763901973854,"(1, 68700)",,0.001799888751177647,True
daily,XLK,XLI,1,8.112193302308826,0.004398154539226109,"(1, 68700)",,0.02199077269613054,True
daily,XLK,XLV,1,0.007868506007819279,0.9293169354295897,"(1, 68700)",,0.9580886540099957,False
daily,XLK,XLY,1,1.5715098040593243,0.20999215498824644,"(1, 68700)",,0.37057439115572904,False
daily,XLK,XLP,1,2.186825358938411,0.13920053748329933,"(1, 68700)",,0.28472837212493046,False
daily,XLK,XLU,1,5.441558262290924,0.019665991637144765,"(1, 68700)",,0.07046135691086723,False
daily,XLK,^GSPC,1,12.22990468002904,0.00047059289544214533,"(1, 68700)",,0.0030966462306906938,True
daily,XLV,XLF,1,3.3471709745831153,0.06732495089687694,"(1, 68700)",,0.173121302306255,False
daily,XLV,XLB,1,0.12182832160825548,0.727060994988064,"(1, 68700)",,0.8901884104548178,False
daily,XLV,XLE,1,0.020412535441791373,0.8863913402724881,"(1, 68700)",,0.9580886540099957,False
daily,XLV,XLI,1,0.006287780585264124,0.9367977950319957,"(1, 68700)",,0.9580886540099957,False
daily,XLV,XLK,1,1.574332013397284,0.20958328249349806,"(1, 68700)",,0.37057439115572904,False
daily,XLV,XLY,1,1.5891757100158148,0.20744822279083144,"(1, 68700)",,0.37057439115572904,False
daily,XLV,XLP,1,0.6498946448653895,0.42015313969254975,"(1, 68700)",,0.5962443377706217,False
daily,XLV,XLU,1,0.01961367333718649,0.8886218243796037,"(1, 68700)",,0.9580886540099957,False
daily,XLV,^GSPC,1,5.4854535616116914e-06,0.9981312810422829,"(1, 68700)",,0.9981312810422829,False
daily,XLY,XLF,1,12.186374111004996,0.00048170052477410796,"(1, 68700)",,0.0030966462306906938,True
daily,XLY,XLB,1,46.03044406793912,1.173692779220962e-11,"(1, 68700)",,1.0563235012988657e-09,True
daily,XLY,XLE,1,29.020846878788138,7.183827240955697e-08,"(1, 68700)",,2.155148172286709e-06,True
daily,XLY,XLI,1,20.52287701125534,5.902182055316909e-06,"(1, 68700)",,0.00010623927699570437,True
daily,XLY,XLK,1,13.936384693994281,0.00018925478358503082,"(1, 68700)",,0.001799888751177647,True
daily,XLY,XLV,1,5.0544075464586005,0.02456653573965333,"(1, 68700)",,0.07896386487745713,False
daily,XLY,XLP,1,12.207016373584633,0.0004764006600693536,"(1, 68700)",,0.0030966462306906938,True
daily,XLY,XLU,1,7.82650648761593,0.00514998383203092,"(1, 68700)",,0.024394660256988568,True
daily,XLY,^GSPC,1,25.07501154552709,5.527904686948404e-07,"(1, 68700)",,1.2437785545633907e-05,True
daily,XLP,XLF,1,0.08085516284789585,0.7761427054485001,"(1, 68700)",,0.8955492755175001,False
daily,XLP,XLB,1,2.39933302112221,0.1213916013578163,"(1, 68700)",,0.2601248600524635,False
daily,XLP,XLE,1,1.2515767273509864,0.2632554561370292,"(1, 68700)",,0.44703756702514397,False
daily,XLP,XLI,1,1.1910546134801534,0.27512075889183524,"(1, 68700)",,0.4501976054593667,False
daily,XLP,XLK,1,0.6392204920185377,0.42399597352577545,"(1, 68700)",,0.5962443377706217,False
daily,XLP,XLV,1,0.004141315863519206,0.948689295335805,"(1, 68700)",,0.959348725620477,False
daily,XLP,XLY,1,0.9145593921024886,0.33891093010806317,"(1, 68700)",,0.5169827747411133,False
daily,XLP,XLU,1,8.666487489712798,0.0032422377891232136,"(1, 68700)",,0.018237587563818075,True
daily,XLP,^GSPC,1,4.924954568815644,0.026474751856503814,"(1, 68700)",,0.08216302300294287,False
daily,XLU,XLF,1,0.4233747307834434,0.5152600806052423,"(1, 68700)",,0.7026273826435123,False
daily,XLU,XLB,1,0.013234919799785595,0.9084112791386302,"(1, 68700)",,0.9580886540099957,False
daily,XLU,XLE,1,0.12645704873391736,0.7221352444269564,"(1, 68700)",,0.8901884104548178,False
daily,XLU,XLI,1,0.7272672418738098,0.39377339145639323,"(1, 68700)",,0.5716065359850869,False
daily,XLU,XLK,1,1.6761422511834019,0.19544219750677294,"(1, 68700)",,0.36645412032519925,False
daily,XLU,XLV,1,0.1751668465291421,0.6755614146089036,"(1, 68700)",,0.8685789616400189,False
daily,XLU,XLY,1,0.021356059556095087,0.8838135675520581,"(1, 68700)",,0.9580886540099957,False
daily,XLU,XLP,1,0.30944443215748285,0.5780231159333722,"(1, 68700)",,0.7764489617015448,False
daily,XLU,^GSPC,1,0.11992472511508208,0.729117206056365,"(1, 68700)",,0.8901884104548178,False
daily,^GSPC,XLF,1,0.5870434812221005,0.44356730131123623,"(1, 68700)",,0.6141701095078655,False
daily,^GSPC,XLB,1,18.910988026521444,1.3715836690048167e-05,"(1, 68700)",,0.0002057375503507225,True
daily,^GSPC,XLE,1,32.35619105306025,1.2886735019006228e-08,"(1, 68700)",,5.799030758552803e-07,True
daily,^GSPC,XLI,1,15.653280621397005,7.615684024325986e-05,"(1, 68700)",,0.0009186921744740008,True
daily,^GSPC,XLK,1,6.216664926190697,0.012657662278375352,"(1, 68700)",,0.051781345684262806,False
daily,^GSPC,XLV,1,0.03297680534614932,0.8559009762362587,"(1, 68700)",,0.9580886540099957,False
daily,^GSPC,XLY,1,3.0829912527728376,0.07911935409438327,"(1, 68700)",,0.19107017208571928,False
daily,^GSPC,XLP,1,2.9249193718603106,0.08722609722116309,"(1, 68700)",,0.20063278317642386,False
daily,^GSPC,XLU,1,15.521296532429632,8.166152661991119e-05,"(1, 68700)",,0.0009186921744740008,True
weekly,XLF,XLB,1,0.7688196652151962,0.38059731074012804,"(1, 14170)",,0.70947358206753,False
weekly,XLF,XLE,1,1.991882884365476,0.158166102130354,"(1, 14170)",,0.5083910425618522,False
weekly,XLF,XLI,1,1.3173148142231104,0.251093903440632,"(1, 14170)",,0.5794474694783814,False
weekly,XLF,XLK,1,0.10437852521737066,0.7466419565930602,"(1, 14170)",,0.9518062149425844,False
weekly,XLF,XLV,1,0.2106353337417815,0.6462769306644147,"(1, 14170)",,0.9189945266975386,False
weekly,XLF,XLY,1,3.007434737470745,0.08290511304652988,"(1, 14170)",,0.3687239406120987,False
weekly,XLF,XLP,1,0.3085523517968812,0.5785786507983919,"(1, 14170)",,0.9087827657621043,False
weekly,XLF,XLU,1,1.40695900050999,0.2355817612579227,"(1, 14170)",,0.5794474694783814,False
weekly,XLF,^GSPC,1,1.6207953449619554,0.20300180938734122,"(1, 14170)",,0.5794474694783814,False
weekly,XLB,XLF,1,5.788533234363095,0.016143767930949206,"(1, 14170)",,0.17457011532054123,False
weekly,XLB,XLE,1,0.17704751016419312,0.6739293195781949,"(1, 14170)",,0.9189945266975386,False
weekly,XLB,XLI,1,3.445268123170213,0.06345387280340532,"(1, 14170)",,0.33593226778273405,False
weekly,XLB,XLK,1,1.5655089771628767,0.21088107615250576,"(1, 14170)",,0.5794474694783814,False
weekly,XLB,XLV,1,12.73514863911493,0.000360032820761756,"(1, 14170)",,0.03240295386855804,True
weekly,XLB,XLY,1,6.272568513827434,0.01227326755997526,"(1, 14170)",,0.17457011532054123,False
weekly,XLB,XLP,1,2.636972741811874,0.10442455268136583,"(1, 14170)",,0.39159207255512185,False
weekly,XLB,XLU,1,0.8773913185390887,0.3489331366421268,"(1, 14170)",,0.6681698361232215,False
weekly,XLB,^GSPC,1,6.532094667616039,0.010604854393787914,"(1, 14170)",,0.17457011532054123,False
weekly,XLE,XLF,1,1.4565204135917111,0.22750471836967662,"(1, 14170)",,0.5794474694783814,False
weekly,XLE,XLB,1,2.9484735279702607,0.08598056663660383,"(1, 14170)",,0.3687239406120987,False
weekly,XLE,XLI,1,1.3619092435982503,0.24322650524948847,"(1, 14170)",,0.5794474694783814,False
weekly,XLE,XLK,1,2.87239743147441,0.09013251881629078,"(1, 14170)",,0.3687239406120987,False
weekly,XLE,XLV,1,3.545190668472338,0.05973877066354406,"(1, 14170)",,0.33593226778273405,False
weekly,XLE,XLY,1,6.883621526365024,0.008708234329047135,"(1, 14170)",,0.17457011532054123,False
weekly,XLE,XLP,1,0.06835204873959771,0.7937552805877093,"(1, 14170)",,0.9518062149425844,False
weekly,XLE,XLU,1,0.8808893881199513,0.34797419609189184,"(1, 14170)",,0.6681698361232215,False
weekly,XLE,^GSPC,1,2.3110242403458763,0.12848169056381625,"(1, 14170)",,0.4447443134901332,False
weekly,XLI,XLF,1,0.021780213927414464,0.88267538366878,"(1, 14170)",,0.9855976678875553,False
weekly,XLI,XLB,1,1.8589855637851491,0.17276358742748002,"(1, 14170)",,0.5361628575335586,False
weekly,XLI,XLE,1,2.0322590230795976,0.15401359639127246,"(1, 14170)",,0.5083910425618522,False
weekly,XLI,XLK,1,5.734382757292953e-05,0.993958127043172,"(1, 14170)",,0.993958127043172,False
weekly,XLI,XLV,1,0.2740640713563911,0.6006266827814091,"(1, 14170)",,0.9087827657621043,False
weekly,XLI,XLY,1,0.0009019290752651885,0.9760418484098239,"(1, 14170)",,0.993958127043172,False
weekly,XLI,XLP,1,0.09261431278842704,0.7608840095850382,"(1, 14170)",,0.9518062149425844,False
weekly,XLI,XLU,1,0.06550538688424046,0.7980007268056355,"(1, 14170)",,0.9518062149425844,False
weekly,XLI,^GSPC,1,0.002781752014763906,0.9579379652245555,"(1, 14170)",,0.993958127043172,False
weekly,XLK,XLF,1,3.8712450827625045,0.04913954343172595,"(1, 14170)",,0.3194852226732122,False
weekly,XLK,XLB,1,1.1720721135484216,0.27899430791238444,"(1, 14170)",,0.5978449455265381,False
weekly,XLK,XLE,1,0.00015559512073062481,0.9900477993524784,"(1, 14170)",,0.993958127043172,False
weekly,XLK,XLI,1,1.3213370322957365,0.2503716370373111,"(1, 14170)",,0.5794474694783814,False
weekly,XLK,XLV,1,0.2044154050359717,0.6511871382805011,"(1, 14170)",,0.9189945266975386,False
weekly,XLK,XLY,1,4.332058029060787,0.03741890756983824,"(1, 14170)",,0.30615469829867653,False
weekly,XLK,XLP,1,0.07636704748572966,0.782286447567224,"(1, 14170)",,0.9518062149425844,False
weekly,XLK,XLU,1,0.17963737347937894,0.6716914948549257,"(1, 14170)",,0.9189945266975386,False
weekly,XLK,^GSPC,1,0.5046161626903133,0.477490502835228,"(1, 14170)",,0.8108329293428399,False
weekly,XLV,XLF,1,6.3353440284081675,0.011846460085774871,"(1, 14170)",,0.17457011532054123,False
weekly,XLV,XLB,1,6.06289696577575,0.013816917333857887,"(1, 14170)",,0.17457011532054123,False
weekly,XLV,XLE,1,0.07421524838301766,0.7852994081803697,"(1, 14170)",,0.9518062149425844,False
weekly,XLV,XLI,1,3.586608572714399,0.058267348074556635,"(1, 14170)",,0.33593226778273405,False
weekly,XLV,XLK,1,3.852288423835183,0.049697701304721904,"(1, 14170)",,0.3194852226732122,False
weekly,XLV,XLY,1,10.734233920069396,0.001054243181617288,"(1, 14170)",,0.04744094317277795,True
weekly,XLV,XLP,1,3.985410910793643,0.04591500520704768,"(1, 14170)",,0.3194852226732122,False
weekly,XLV,XLU,1,0.8989464092625365,0.3430805435325567,"(1, 14170)",,0.6681698361232215,False
weekly,XLV,^GSPC,1,5.651161246793193,0.017457011532054124,"(1, 14170)",,0.17457011532054123,False
weekly,XLY,XLF,1,0.061754627624870724,0.8037474703959602,"(1, 14170)",,0.9518062149425844,False
weekly,XLY,XLB,1,0.0032432609148904156,0.9545861184798373,"(1, 14170)",,0.993958127043172,False
weekly,XLY,XLE,1,0.0021378831356513414,0.9631218058873985,"(1, 14170)",,0.993958127043172,False
weekly,XLY,XLI,1,0.17711079243836753,0.6738744102611605,"(1, 14170)",,0.9189945266975386,False
weekly,XLY,XLK,1,1.2201728723331295,0.269345484516737,"(1, 14170)",,0.5912461855245447,False
weekly,XLY,XLV,1,0.11012241274151192,0.7400097216533313,"(1, 14170)",,0.9518062149425844,False
weekly,XLY,XLP,1,0.4378205779076352,0.5081870089702466,"(1, 14170)",,0.8469783482837444,False
weekly,XLY,XLU,1,0.15501777009811926,0.6937915114495017,"(1, 14170)",,0.9206342640126158,False
weekly,XLY,^GSPC,1,0.036112474804988734,0.8492861301547615,"(1, 14170)",,0.9855976678875553,False
weekly,XLP,XLF,1,0.028073053484613475,0.8669395804926852,"(1, 14170)",,0.9855976678875553,False
weekly,XLP,XLB,1,0.4072042771385042,0.5234022375093985,"(1, 14170)",,0.8564763886517429,False
weekly,XLP,XLE,1,0.020179867937838807,0.8870379010987998,"(1, 14170)",,0.9855976678875553,False
weekly,XLP,XLI,1,0.3557301802148426,0.5508967282549135,"(1, 14170)",,0.8853697418382539,False
weekly,XLP,XLK,1,0.9889905880188556,0.3200061902471566,"(1, 14170)",,0.6545581164146386,False
weekly,XLP,XLV,1,0.2516081906467789,0.6159527634609818,"(1, 14170)",,0.9087827657621043,False
weekly,XLP,XLY,1,1.2808923621123114,0.2577523338829931,"(1, 14170)",,0.5799427512367346,False
weekly,XLP,XLU,1,0.001095143862356906,0.973600924570308,"(1, 14170)",,0.993958127043172,False
weekly,XLP,^GSPC,1,0.2893533575621986,0.5906436602933458,"(1, 14170)",,0.9087827657621043,False
weekly,XLU,XLF,1,2.7330180499793166,0.09831553038490815,"(1, 14170)",,0.3847129449844232,False
weekly,XLU,XLB,1,1.7446357111453588,0.1865738521124255,"(1, 14170)",,0.5597215563372765,False
weekly,XLU,XLE,1,2.9385204194240466,0.08651179258836839,"(1, 14170)",,0.3687239406120987,False
weekly,XLU,XLI,1,1.4213571992823975,0.23320010884391518,"(1, 14170)",,0.5794474694783814,False
weekly,XLU,XLK,1,0.7261389092148464,0.39415199003751666,"(1, 14170)",,0.70947358206753,False
weekly,XLU,XLV,1,0.1531062125344266,0.695590332809532,"(1, 14170)",,0.9206342640126158,False
weekly,XLU,XLY,1,2.5166414639926487,0.11267259251693386,"(1, 14170)",,0.4056213330609619,False
weekly,XLU,XLP,1,0.26520797611267116,0.6065726027707502,"(1, 14170)",,0.9087827657621043,False
weekly,XLU,^GSPC,1,0.7377170215343015,0.39040770931706803,"(1, 14170)",,0.70947358206753,False
weekly,^GSPC,XLF,1,3.091307152776052,0.07873314083925832,"(1, 14170)",,0.3687239406120987,False
weekly,^GSPC,XLB,1,0.5117302372767992,0.47440259370281257,"(1, 14170)",,0.8108329293428399,False
weekly,^GSPC,XLE,1,0.012186503587761011,0.9120996659595029,"(1, 14170)",,0.993958127043172,False
weekly,^GSPC,XLI,1,1.0973640821030137,0.2948631740904375,"(1, 14170)",,0.6171554806544041,False
weekly,^GSPC,XLK,1,1.3640024600960516,0.24286467324034872,"(1, 14170)",,0.5794474694783814,False
weekly,^GSPC,XLV,1,0.020749920262249467,0.8854643572668048,"(1, 14170)",,0.9855976678875553,False
weekly,^GSPC,XLY,1,4.36411109499712,0.036721423723026766,"(1, 14170)",,0.30615469829867653,False
weekly,^GSPC,XLP,1,0.005035115740245767,0.9434317464187925,"(1, 14170)",,0.993958127043172,False
weekly,^GSPC,XLU,1,0.5677490573271966,0.4511672890893895,"(1, 14170)",,0.7961775689812757,False
monthly,XLF,XLB,1,0.7349332003951359,0.3913534060216165,"(1, 3180)",,0.9024743853675049,False
monthly,XLF,XLE,1,3.1016390391809177,0.0783096067267966,"(1, 3180)",,0.8538626436346859,False
monthly,XLF,XLI,1,3.9579084900022488,0.04673715914435144,"(1, 3180)",,0.8538626436346859,False
monthly,XLF,XLK,1,0.02952427766429185,0.8635850212273533,"(1, 3180)",,0.9519896961406095,False
monthly,XLF,XLV,1,0.9234568157140227,0.3366420201434135,"(1, 3180)",,0.8538626436346859,False
monthly,XLF,XLY,1,0.5940785416390425,0.44090355197633047,"(1, 3180)",,0.9024743853675049,False
monthly,XLF,XLP,1,1.0252353397245757,0.31135741588972526,"(1, 3180)",,0.8538626436346859,False
monthly,XLF,XLU,1,1.243923646849436,0.2648004857783539,"(1, 3180)",,0.8538626436346859,False
monthly,XLF,^GSPC,1,1.119615081234458,0.2900817208294938,"(1, 3180)",,0.8538626436346859,False
monthly,XLB,XLF,1,0.001648640214423799,0.9676145820270494,"(1, 3180)",,0.9896058225276642,False
monthly,XLB,XLE,1,0.5099395510011037,0.47521743509588577,"(1, 3180)",,0.9024743853675049,False
monthly,XLB,XLI,1,0.03459202598400898,0.8524650017064157,"(1, 3180)",,0.9519896961406095,False
monthly,XLB,XLK,1,0.2064000120522581,0.6496347972159868,"(1, 3180)",,0.9280497103085527,False
monthly,XLB,XLV,1,0.4521286834492645,0.5013746585375027,"(1, 3180)",,0.9024743853675049,False
monthly,XLB,XLY,1,0.4608997435719565,0.49725318149887576,"(1, 3180)",,0.9024743853675049,False
monthly,XLB,XLP,1,0.47038900840214404,0.49285825799756866,"(1, 3180)",,0.9024743853675049,False
monthly,XLB,XLU,1,0.251076127567847,0.6163530417300966,"(1, 3180)",,0.9170699507860252,False
monthly,XLB,^GSPC,1,0.24162998174268613,0.6230652526698601,"(1, 3180)",,0.9170699507860252,False
monthly,XLE,XLF,1,1.2495310340074717,0.2637265064914325,"(1, 3180)",,0.8538626436346859,False
monthly,XLE,XLB,1,0.04975095855653352,0.8235115180712084,"(1, 3180)",,0.9519896961406095,False
monthly,XLE,XLI,1,0.6413218102652669,0.4232923821420944,"(1, 3180)",,0.9024743853675049,False
monthly,XLE,XLK,1,0.9072141671247098,0.3409270536829161,"(1, 3180)",,0.8538626436346859,False
monthly,XLE,XLV,1,0.09984577910736121,0.7520355208624065,"(1, 3180)",,0.9519896961406095,False
monthly,XLE,XLY,1,4.474577590421039,0.034480266600595506,"(1, 3180)",,0.8538626436346859,False
monthly,XLE,XLP,1,0.315971334629835,0.5740784614914989,"(1, 3180)",,0.9170699507860252,False
monthly,XLE,XLU,1,0.10135832222574186,0.7502265499951009,"(1, 3180)",,0.9519896961406095,False
monthly,XLE,^GSPC,1,1.756684792914981,0.18513377507599962,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLF,1,0.06036143522315071,0.8059414415959583,"(1, 3180)",,0.9519896961406095,False
monthly,XLI,XLB,1,0.509274921768809,0.47550527557328404,"(1, 3180)",,0.9024743853675049,False
monthly,XLI,XLE,1,0.9637317122035812,0.32632314361451475,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLK,1,1.8280505354480752,0.1764541288609969,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLV,1,1.592289685485976,0.20709185077829972,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLY,1,0.8699772398983154,0.3510324201609264,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLP,1,1.3950544450032578,0.23764170327574569,"(1, 3180)",,0.8538626436346859,False
monthly,XLI,XLU,1,6.8766985924296335,0.00877432737789211,"(1, 3180)",,0.7896894640102898,False
monthly,XLI,^GSPC,1,0.19184756583334353,0.6614130816689855,"(1, 3180)",,0.9301121460970108,False
monthly,XLK,XLF,1,0.02632922602051996,0.8711091932177693,"(1, 3180)",,0.9519896961406095,False
monthly,XLK,XLB,1,0.91867617236556,0.3378956706933678,"(1, 3180)",,0.8538626436346859,False
monthly,XLK,XLE,1,1.023840383889811,0.3116867697344217,"(1, 3180)",,0.8538626436346859,False
monthly,XLK,XLI,1,1.1082206124435987,0.29254905858505637,"(1, 3180)",,0.8538626436346859,False
monthly,XLK,XLV,1,0.8820950727728105,0.34769982779106245,"(1, 3180)",,0.8538626436346859,False
monthly,XLK,XLY,1,0.04478730107695356,0.8324091830874634,"(1, 3180)",,0.9519896961406095,False
monthly,XLK,XLP,1,0.3454501803389976,0.5567417747399778,"(1, 3180)",,0.9170699507860252,False
monthly,XLK,XLU,1,4.647297252834706,0.031177276136487037,"(1, 3180)",,0.8538626436346859,False
monthly,XLK,^GSPC,1,0.00011136179765247224,0.9915808941003867,"(1, 3180)",,0.9915808941003867,False
monthly,XLV,XLF,1,1.855216782740327,0.173274340363412,"(1, 3180)",,0.8538626436346859,False
monthly,XLV,XLB,1,0.6573817911141315,0.4175464685349829,"(1, 3180)",,0.9024743853675049,False
monthly,XLV,XLE,1,0.021348580776619015,0.8838426012249712,"(1, 3180)",,0.9519896961406095,False
monthly,XLV,XLI,1,2.4256133784107248,0.11946602007771545,"(1, 3180)",,0.8538626436346859,False
monthly,XLV,XLK,1,1.5454636666964936,0.21389802521698426,"(1, 3180)",,0.8538626436346859,False
monthly,XLV,XLY,1,1.7866558753497972,0.18142976391325683,"(1, 3180)",,0.8538626436346859,False
monthly,XLV,XLP,1,0.03127827304066504,0.8596322562893077,"(1, 3180)",,0.9519896961406095,False
monthly,XLV,XLU,1,0.12413333667093708,0.7246174301800046,"(1, 3180)",,0.9519896961406095,False
monthly,XLV,^GSPC,1,2.0314297173146887,0.15417374705860673,"(1, 3180)",,0.8538626436346859,False
monthly,XLY,XLF,1,0.9538178813492535,0.3288236764629475,"(1, 3180)",,0.8538626436346859,False
monthly,XLY,XLB,1,0.5517727529085557,0.45764911953390475,"(1, 3180)",,0.9024743853675049,False
monthly,XLY,XLE,1,0.06686821876335683,0.795969184566895,"(1, 3180)",,0.9519896961406095,False
monthly,XLY,XLI,1,0.2354519238253386,0.6275438734785426,"(1, 3180)",,0.9170699507860252,False
monthly,XLY,XLK,1,3.5277062864478443,0.06044265111358249,"(1, 3180)",,0.8538626436346859,False
monthly,XLY,XLV,1,0.15410637901599503,0.6946679516546036,"(1, 3180)",,0.9519896961406095,False
monthly,XLY,XLP,1,0.011747950785415216,0.9136947862009291,"(1, 3180)",,0.9561922181172514,False
monthly,XLY,XLU,1,0.9313676717668582,0.3345811724102462,"(1, 3180)",,0.8538626436346859,False
monthly,XLY,^GSPC,1,1.6037840473272456,0.20546053435423403,"(1, 3180)",,0.8538626436346859,False
monthly,XLP,XLF,1,0.4101216000806212,0.5219539331780698,"(1, 3180)",,0.9170699507860252,False
monthly,XLP,XLB,1,0.6695424630502494,0.41327247924066857,"(1, 3180)",,0.9024743853675049,False
monthly,XLP,XLE,1,0.0035221292410366743,0.9526790339179919,"(1, 3180)",,0.9855300350875779,False
monthly,XLP,XLI,1,0.01965147396862415,0.8885237163979022,"(1, 3180)",,0.9519896961406095,False
monthly,XLP,XLK,1,0.12477606884938977,0.7239345134698949,"(1, 3180)",,0.9519896961406095,False
monthly,XLP,XLV,1,0.015945451796828086,0.8995219891265035,"(1, 3180)",,0.9524350473104155,False
monthly,XLP,XLY,1,0.09500660300545488,0.7579264405706259,"(1, 3180)",,0.9519896961406095,False
monthly,XLP,XLU,1,0.31113642445310624,0.5770229294871398,"(1, 3180)",,0.9170699507860252,False
monthly,XLP,^GSPC,1,0.23592491101142876,0.6271984411689625,"(1, 3180)",,0.9170699507860252,False
monthly,XLU,XLF,1,0.0569407645033046,0.8114135833460046,"(1, 3180)",,0.9519896961406095,False
monthly,XLU,XLB,1,0.3739256093596077,0.5409159226882687,"(1, 3180)",,0.9170699507860252,False
monthly,XLU,XLE,1,0.021223350931210583,0.8841813782405358,"(1, 3180)",,0.9519896961406095,False
monthly,XLU,XLI,1,0.5231125484901682,0.4695701631118703,"(1, 3180)",,0.9024743853675049,False
monthly,XLU,XLK,1,2.5251799422215444,0.11214140785668995,"(1, 3180)",,0.8538626436346859,False
monthly,XLU,XLV,1,0.3204385086732913,0.5713841792338312,"(1, 3180)",,0.9170699507860252,False
monthly,XLU,XLY,1,1.1587397651667908,0.28180871242739364,"(1, 3180)",,0.8538626436346859,False
monthly,XLU,XLP,1,1.048480206888759,0.30593525396846266,"(1, 3180)",,0.8538626436346859,False
monthly,XLU,^GSPC,1,0.7348212964207573,0.39138946436149114,"(1, 3180)",,0.9024743853675049,False
monthly,^GSPC,XLF,1,0.22972698175492712,0.6317592994303729,"(1, 3180)",,0.9170699507860252,False
monthly,^GSPC,XLB,1,0.11478331508986486,0.7347851324651381,"(1, 3180)",,0.9519896961406095,False
