resolution,cause,effect,xgb_importance,target,test_rmse,test_mae,test_r2,xgb_top_edge,xgb_rank_for_effect
weekly,XLB,XLE,0.116991535,XLE,0.04193397999062088,0.03127548923369674,-0.1305624111140633,True,1
weekly,XLV,XLE,0.11098468,XLE,0.04193397999062088,0.03127548923369674,-0.1305624111140633,True,2
weekly,^GSPC,XLE,0.10089351,XLE,0.04193397999062088,0.03127548923369674,-0.1305624111140633,True,3
weekly,XLE,XLI,0.11476113,XLI,0.02597497825536893,0.01915854528064482,-0.2275221943733945,True,1
weekly,XLB,XLI,0.11419719,XLI,0.02597497825536893,0.01915854528064482,-0.2275221943733945,True,2
weekly,^GSPC,XLI,0.11148683,XLI,0.02597497825536893,0.01915854528064482,-0.2275221943733945,True,3
weekly,XLY,XLK,0.11112418,XLK,0.03311696262456672,0.02576472382718773,-0.09518650859255073,True,1
weekly,^GSPC,XLK,0.10969506,XLK,0.03311696262456672,0.02576472382718773,-0.09518650859255073,True,2
weekly,XLU,XLK,0.107529856,XLK,0.03311696262456672,0.02576472382718773,-0.09518650859255073,True,3
weekly,^GSPC,XLV,0.12185787,XLV,0.022581775342915788,0.01664395562950142,-0.2560852019837798,True,1
weekly,XLE,XLV,0.11070985,XLV,0.022581775342915788,0.01664395562950142,-0.2560852019837798,True,2
weekly,XLU,XLV,0.10757205,XLV,0.022581775342915788,0.01664395562950142,-0.2560852019837798,True,3
weekly,XLB,XLY,0.110913455,XLY,0.031818524418216886,0.024599065485324458,-0.06238568063823546,True,1
weekly,XLU,XLY,0.10527017,XLY,0.031818524418216886,0.024599065485324458,-0.06238568063823546,True,2
weekly,XLI,XLY,0.10391627,XLY,0.031818524418216886,0.024599065485324458,-0.06238568063823546,True,3
weekly,^GSPC,XLP,0.12471569,XLP,0.019388635084494815,0.013837666246345191,-0.17838960484738298,True,1
weekly,XLV,XLP,0.1213038,XLP,0.019388635084494815,0.013837666246345191,-0.17838960484738298,True,2
weekly,XLB,XLP,0.113900535,XLP,0.019388635084494815,0.013837666246345191,-0.17838960484738298,True,3
weekly,XLV,XLU,0.12027028,XLU,0.02595626759375805,0.019124609885725494,-0.23597306677929986,True,1
weekly,^GSPC,XLU,0.11956612,XLU,0.02595626759375805,0.019124609885725494,-0.23597306677929986,True,2
weekly,XLE,XLU,0.1092752,XLU,0.02595626759375805,0.019124609885725494,-0.23597306677929986,True,3
weekly,XLV,^GSPC,0.116473354,^GSPC,0.024477772406517634,0.017950695997155236,-0.23640510304342288,True,1
weekly,XLE,^GSPC,0.11599875,^GSPC,0.024477772406517634,0.017950695997155236,-0.23640510304342288,True,2
weekly,XLY,^GSPC,0.106823735,^GSPC,0.024477772406517634,0.017950695997155236,-0.23640510304342288,True,3
monthly,XLE,XLF,0.1298265,XLF,0.05794458367464649,0.049485576626503325,-0.2759812551849232,True,1
monthly,^GSPC,XLF,0.11168743,XLF,0.05794458367464649,0.049485576626503325,-0.2759812551849232,True,2
monthly,XLV,XLF,0.10739655,XLF,0.05794458367464649,0.049485576626503325,-0.2759812551849232,True,3
monthly,XLY,XLB,0.11942826,XLB,0.05811900018247337,0.04743902023504033,-0.1149094671266595,True,1
monthly,XLV,XLB,0.11395692,XLB,0.05811900018247337,0.04743902023504033,-0.1149094671266595,True,2
monthly,^GSPC,XLB,0.11154858,XLB,0.05811900018247337,0.04743902023504033,-0.1149094671266595,True,3
monthly,^GSPC,XLE,0.16240296,XLE,0.08220067302654925,0.0607211163007295,-0.2833856246156188,True,1
monthly,XLV,XLE,0.11485063,XLE,0.08220067302654925,0.0607211163007295,-0.2833856246156188,True,2
monthly,XLU,XLE,0.10045991,XLE,0.08220067302654925,0.0607211163007295,-0.2833856246156188,True,3
monthly,^GSPC,XLI,0.1516493,XLI,0.05238011213346357,0.04229238505794333,-0.04007419518779365,True,1
monthly,XLE,XLI,0.11165679,XLI,0.05238011213346357,0.04229238505794333,-0.04007419518779365,True,2
monthly,XLV,XLI,0.10395882,XLI,0.05238011213346357,0.04229238505794333,-0.04007419518779365,True,3
monthly,XLY,XLK,0.115618505,XLK,0.061160110593676334,0.049800143498526975,-0.011128007594581657,True,1
monthly,^GSPC,XLK,0.108557604,XLK,0.061160110593676334,0.049800143498526975,-0.011128007594581657,True,2
monthly,XLB,XLK,0.10190638,XLK,0.061160110593676334,0.049800143498526975,-0.011128007594581657,True,3
monthly,XLY,XLV,0.11644823,XLV,0.04088770426608029,0.035429044021290226,0.0032704879972369483,True,1
monthly,XLK,XLV,0.11558332,XLV,0.04088770426608029,0.035429044021290226,0.0032704879972369483,True,2
monthly,XLF,XLV,0.11117241,XLV,0.04088770426608029,0.035429044021290226,0.0032704879972369483,True,3
monthly,XLK,XLY,0.1199498,XLY,0.05819925874365145,0.04256621175026388,0.0900884892743854,True,1
monthly,^GSPC,XLY,0.116946675,XLY,0.05819925874365145,0.04256621175026388,0.0900884892743854,True,2
monthly,XLU,XLY,0.111218266,XLY,0.05819925874365145,0.04256621175026388,0.0900884892743854,True,3
monthly,^GSPC,XLP,0.12456885,XLP,0.04175598789738924,0.032986920582249654,-0.16978828120546208,True,1
monthly,XLK,XLP,0.11144989,XLP,0.04175598789738924,0.032986920582249654,-0.16978828120546208,True,2
monthly,XLU,XLP,0.11015408,XLP,0.04175598789738924,0.032986920582249654,-0.16978828120546208,True,3
monthly,^GSPC,XLU,0.16260289,XLU,0.053088654358738434,0.04261065416451535,-0.2567970349086086,True,1
monthly,XLK,XLU,0.12546222,XLU,0.053088654358738434,0.04261065416451535,-0.2567970349086086,True,2
monthly,XLY,XLU,0.11066552,XLU,0.053088654358738434,0.04261065416451535,-0.2567970349086086,True,3
monthly,XLV,^GSPC,0.10931829,^GSPC,0.042695858383301734,0.03473813388405266,0.03814873929071627,True,1
monthly,XLK,^GSPC,0.106859356,^GSPC,0.042695858383301734,0.03473813388405266,0.03814873929071627,True,2
monthly,XLB,^GSPC,0.10250413,^GSPC,0.042695858383301734,0.03473813388405266,0.03814873929071627,True,3
