resolution,cause,effect,conditional_var_edge,conditional_var_p_adj,xgb_top_edge,xgb_importance,pcmci_edge,pcmci_min_p_value,cvar,pcmci,xgb,total_conditional_score,core_causal_score
daily,XLK,XLB,False,0.0704613569108672,True,0.10511639714241028,True,0.01811381185498537,0,1,1,2,1
daily,XLY,XLV,False,0.0789638648774571,True,0.11112763732671738,True,0.03301025475976412,0,1,1,2,1
daily,XLE,XLY,False,0.1082840993235947,True,0.13545000553131104,True,1.1135873700595694e-06,0,1,1,2,1
daily,XLE,XLK,False,0.173121302306255,True,0.12669429183006287,True,0.02105766349222738,0,1,1,2,1
weekly,XLV,^GSPC,False,0.1745701153205412,True,0.11647335439920425,True,0.00013118344276252794,0,1,1,2,1
weekly,XLB,XLF,False,0.1745701153205412,True,0.09734170883893967,True,0.0003406594343207645,0,1,1,2,1
weekly,XLV,XLB,False,0.1745701153205412,True,0.10544798523187637,True,0.004086527702020256,0,1,1,2,1
weekly,XLB,XLY,False,0.1745701153205412,True,0.11091345548629761,True,0.034811759891134685,0,1,1,2,1
daily,XLE,XLF,False,0.1910701720857192,True,0.12742023169994354,True,0.003638195111137429,0,1,1,2,1
daily,^GSPC,XLP,False,0.2006327831764238,True,0.11641442030668259,True,9.083222689579171e-13,0,1,1,2,1
weekly,XLV,XLP,False,0.3194852226732122,True,0.12130379676818848,True,0.03323722581016957,0,1,1,2,1
weekly,XLB,XLP,False,0.3915920725551218,True,0.11390053480863571,True,0.014804479832063545,0,1,1,2,1
weekly,^GSPC,XLK,False,0.5794474694783814,True,0.10969506204128265,True,0.04643865290980628,0,1,1,2,1
daily,^GSPC,XLF,False,0.6141701095078655,True,0.10691829025745392,True,0.024873157556504346,0,1,1,2,1
weekly,XLU,XLK,False,0.70947358206753,True,0.10752985626459122,True,0.04015591965525471,0,1,1,2,1
monthly,XLK,XLU,False,0.8538626436346859,True,0.12546221911907196,True,0.008774677730118915,0,1,1,2,1
daily,XLY,XLB,True,1.0563235012988655e-09,False,,False,,1,0,0,1,1
daily,^GSPC,XLI,True,0.000918692174474,False,,False,,1,0,0,1,1
daily,^GSPC,XLU,True,0.000918692174474,False,,False,,1,0,0,1,1
daily,XLK,XLE,True,0.0017998887511776,False,,False,,1,0,0,1,1
daily,XLF,XLI,True,0.0187244800186447,False,,False,,1,0,0,1,1
daily,XLK,XLI,True,0.0219907726961305,False,,False,,1,0,0,1,1
daily,XLI,^GSPC,False,0.0543726421299355,False,,True,0.0075688374627298945,0,1,0,1,1
daily,XLI,XLP,False,0.0704613569108672,False,,True,0.02416355067636061,0,1,0,1,1
daily,XLV,XLF,False,0.173121302306255,False,,True,0.010367314398756355,0,1,0,1,1
weekly,XLB,^GSPC,False,0.1745701153205412,False,,True,0.035625903913712224,0,1,0,1,1
daily,XLB,XLE,False,0.2511423538595805,False,,True,0.005986845705575941,0,1,0,1,1
weekly,XLV,XLK,False,0.3194852226732122,False,,True,0.009188015797848415,0,1,0,1,1
weekly,XLV,XLI,False,0.335932267782734,False,,True,0.009657399922187606,0,1,0,1,1
daily,XLU,XLI,False,0.5716065359850869,False,,True,0.0001266659340678578,0,1,0,1,1
weekly,XLU,XLI,False,0.5794474694783814,False,,True,0.028893332310258403,0,1,0,1,1
monthly,XLI,XLU,False,0.7896894640102898,False,,True,0.02275483489348271,0,1,0,1,1
monthly,XLE,XLY,False,0.8538626436346859,False,,True,0.028981476000640438,0,1,0,1,1
daily,XLV,XLB,False,0.8901884104548178,False,,True,0.0020778638046105194,0,1,0,1,1
daily,XLU,XLE,False,0.8901884104548178,False,,True,0.02964394481704693,0,1,0,1,1
daily,XLU,XLB,False,0.9580886540099957,False,,True,0.0039730736989474465,0,1,0,1,1
weekly,XLI,XLF,False,0.9855976678875552,False,,True,0.020287115565691356,0,1,0,1,1
daily,XLE,XLB,False,0.0704613569108672,True,0.10810015350580215,False,,0,0,1,1,0
daily,XLP,^GSPC,False,0.0821630230029428,True,0.10666286945343018,False,,0,0,1,1,0
daily,XLI,XLB,False,0.1082840993235947,True,0.10800600051879883,False,,0,0,1,1,0
daily,XLE,XLU,False,0.1647625971047993,True,0.12174393981695175,False,,0,0,1,1,0
daily,^GSPC,XLY,False,0.1910701720857192,True,0.10743355005979538,False,,0,0,1,1,0
daily,XLF,XLE,False,0.2006327831764238,True,0.1010001078248024,False,,0,0,1,1,0
daily,XLE,XLP,False,0.3202741829969238,True,0.13879965245723724,False,,0,0,1,1,0
weekly,XLB,XLI,False,0.335932267782734,True,0.11419718712568283,False,,0,0,1,1,0
weekly,XLE,XLV,False,0.335932267782734,True,0.11070985347032547,False,,0,0,1,1,0
weekly,XLU,XLY,False,0.4056213330609619,True,0.10527016967535019,False,,0,0,1,1,0
weekly,XLE,^GSPC,False,0.4447443134901332,True,0.1159987524151802,False,,0,0,1,1,0
daily,XLP,XLI,False,0.4501976054593667,True,0.10332417488098145,False,,0,0,1,1,0
daily,XLP,XLY,False,0.5169827747411133,True,0.11493470519781113,False,,0,0,1,1,0
daily,XLE,XLI,False,0.5405382178857677,True,0.12162429094314575,False,,0,0,1,1,0
weekly,XLU,XLB,False,0.5597215563372765,True,0.10522933304309845,False,,0,0,1,1,0
weekly,XLE,XLF,False,0.5794474694783814,True,0.11077792942523956,False,,0,0,1,1,0
weekly,XLE,XLI,False,0.5794474694783814,True,0.11476112902164459,False,,0,0,1,1,0
weekly,XLY,XLK,False,0.5912461855245447,True,0.1111241802573204,False,,0,0,1,1,0
weekly,^GSPC,XLI,False,0.6171554806544041,True,0.11148682981729507,False,,0,0,1,1,0
weekly,XLE,XLU,False,0.6681698361232215,True,0.1092751994729042,False,,0,0,1,1,0
weekly,XLV,XLU,False,0.6681698361232215,True,0.12027028203010559,False,,0,0,1,1,0
weekly,^GSPC,XLU,False,0.7961775689812757,True,0.11956612020730972,False,,0,0,1,1,0
monthly,XLF,XLV,False,0.8538626436346859,True,0.11117240786552429,False,,0,0,1,1,0
monthly,XLE,XLF,False,0.8538626436346859,True,0.12982650101184845,False,,0,0,1,1,0
monthly,XLK,XLV,False,0.8538626436346859,True,0.11558332294225693,False,,0,0,1,1,0
monthly,XLV,XLF,False,0.8538626436346859,True,0.10739655047655106,False,,0,0,1,1,0
monthly,XLV,XLI,False,0.8538626436346859,True,0.10395882278680801,False,,0,0,1,1,0
monthly,XLV,^GSPC,False,0.8538626436346859,True,0.10931829363107681,False,,0,0,1,1,0
monthly,XLY,XLK,False,0.8538626436346859,True,0.1156185045838356,False,,0,0,1,1,0
monthly,XLY,XLU,False,0.8538626436346859,True,0.11066552251577377,False,,0,0,1,1,0
monthly,XLU,XLY,False,0.8538626436346859,True,0.11121826618909836,False,,0,0,1,1,0
monthly,XLU,XLP,False,0.8538626436346859,True,0.11015407741069794,False,,0,0,1,1,0
monthly,^GSPC,XLE,False,0.8538626436346859,True,0.1624029576778412,False,,0,0,1,1,0
monthly,^GSPC,XLK,False,0.8538626436346859,True,0.10855760425329208,False,,0,0,1,1,0
monthly,^GSPC,XLY,False,0.8538626436346859,True,0.11694667488336563,False,,0,0,1,1,0
monthly,^GSPC,XLU,False,0.8538626436346859,True,0.16260288655757904,False,,0,0,1,1,0
daily,XLE,^GSPC,False,0.8901884104548178,True,0.14587660133838654,False,,0,0,1,1,0
monthly,XLE,XLI,False,0.9024743853675048,True,0.1116567924618721,False,,0,0,1,1,0
monthly,XLV,XLB,False,0.9024743853675048,True,0.11395692080259323,False,,0,0,1,1,0
monthly,XLY,XLB,False,0.9024743853675048,True,0.11942826211452484,False,,0,0,1,1,0
monthly,XLB,^GSPC,False,0.9170699507860252,True,0.10250412672758102,False,,0,0,1,1,0
monthly,XLK,XLP,False,0.9170699507860252,True,0.11144988983869553,False,,0,0,1,1,0
monthly,^GSPC,XLF,False,0.9170699507860252,True,0.11168742924928665,False,,0,0,1,1,0
monthly,^GSPC,XLP,False,0.9170699507860252,True,0.12456884980201721,False,,0,0,1,1,0
weekly,XLB,XLE,False,0.9189945266975386,True,0.11699153482913971,False,,0,0,1,1,0
weekly,XLU,XLV,False,0.9206342640126158,True,0.1075720489025116,False,,0,0,1,1,0
monthly,XLB,XLK,False,0.9280497103085528,True,0.10190638154745102,False,,0,0,1,1,0
weekly,XLV,XLE,False,0.9518062149425844,True,0.1109846830368042,False,,0,0,1,1,0
weekly,XLY,XLF,False,0.9518062149425844,True,0.12924900650978088,False,,0,0,1,1,0
monthly,XLK,XLY,False,0.9519896961406096,True,0.11994980275630951,False,,0,0,1,1,0
monthly,XLV,XLE,False,0.9519896961406096,True,0.11485063284635544,False,,0,0,1,1,0
monthly,XLY,XLV,False,0.9519896961406096,True,0.11644823104143143,False,,0,0,1,1,0
monthly,XLU,XLE,False,0.9519896961406096,True,0.10045991092920303,False,,0,0,1,1,0
monthly,^GSPC,XLB,False,0.9519896961406096,True,0.11154858022928238,False,,0,0,1,1,0
daily,^GSPC,XLV,False,0.9580886540099957,True,0.1053081601858139,False,,0,0,1,1,0
weekly,XLY,^GSPC,False,0.9855976678875552,True,0.10682373493909836,False,,0,0,1,1,0
weekly,^GSPC,XLV,False,0.9855976678875552,True,0.12185786664485931,False,,0,0,1,1,0
monthly,XLK,^GSPC,False,0.9915808941003867,True,0.10685935616493225,False,,0,0,1,1,0
monthly,^GSPC,XLI,False,0.9915808941003867,True,0.15164929628372192,False,,0,0,1,1,0
weekly,XLI,XLY,False,0.993958127043172,True,0.10391627252101898,False,,0,0,1,1,0
weekly,XLY,XLB,False,0.993958127043172,True,0.10486091673374176,False,,0,0,1,1,0
weekly,^GSPC,XLE,False,0.993958127043172,True,0.10089351236820221,False,,0,0,1,1,0
weekly,^GSPC,XLP,False,0.993958127043172,True,0.12471569329500198,False,,0,0,1,1,0
daily,XLK,XLU,False,0.0704613569108672,False,,False,,0,0,0,0,0
daily,XLF,XLB,False,0.12874253786234,False,,False,,0,0,0,0,0
daily,XLB,XLI,False,0.1732811966723314,False,,False,,0,0,0,0,0
weekly,XLE,XLY,False,0.1745701153205412,False,,False,,0,0,0,0,0
weekly,XLV,XLF,False,0.1745701153205412,False,,False,,0,0,0,0,0
daily,XLP,XLB,False,0.2601248600524635,False,,False,,0,0,0,0,0
daily,XLF,XLY,False,0.2775273851914603,False,,False,,0,0,0,0,0
daily,XLK,XLP,False,0.2847283721249304,False,,False,,0,0,0,0,0
weekly,XLK,XLY,False,0.3061546982986765,False,,False,,0,0,0,0,0
weekly,^GSPC,XLY,False,0.3061546982986765,False,,False,,0,0,0,0,0
weekly,XLK,XLF,False,0.3194852226732122,False,,False,,0,0,0,0,0
daily,XLF,XLU,False,0.3202741829969238,False,,False,,0,0,0,0,0
daily,XLB,XLV,False,0.3272481206974708,False,,False,,0,0,0,0,0
daily,XLU,XLK,False,0.3664541203251992,False,,False,,0,0,0,0,0
weekly,XLF,XLY,False,0.3687239406120987,False,,False,,0,0,0,0,0
weekly,XLE,XLB,False,0.3687239406120987,False,,False,,0,0,0,0,0
weekly,XLE,XLK,False,0.3687239406120987,False,,False,,0,0,0,0,0
weekly,XLU,XLE,False,0.3687239406120987,False,,False,,0,0,0,0,0
weekly,^GSPC,XLF,False,0.3687239406120987,False,,False,,0,0,0,0,0
daily,XLK,XLY,False,0.370574391155729,False,,False,,0,0,0,0,0
daily,XLV,XLK,False,0.370574391155729,False,,False,,0,0,0,0,0
daily,XLV,XLY,False,0.370574391155729,False,,False,,0,0,0,0,0
weekly,XLU,XLF,False,0.3847129449844232,False,,False,,0,0,0,0,0
daily,XLB,XLF,False,0.3887272957590605,False,,False,,0,0,0,0,0
daily,XLP,XLE,False,0.4470375670251439,False,,False,,0,0,0,0,0
daily,XLF,^GSPC,False,0.4501976054593667,False,,False,,0,0,0,0,0
daily,XLB,XLK,False,0.4533395192572885,False,,False,,0,0,0,0,0
daily,XLB,XLP,False,0.4622740884726029,False,,False,,0,0,0,0,0
daily,XLI,XLY,False,0.4912207464232123,False,,False,,0,0,0,0,0
weekly,XLF,XLE,False,0.5083910425618522,False,,False,,0,0,0,0,0
weekly,XLI,XLE,False,0.5083910425618522,False,,False,,0,0,0,0,0
weekly,XLI,XLB,False,0.5361628575335586,False,,False,,0,0,0,0,0
daily,XLI,XLK,False,0.5644489706563475,False,,False,,0,0,0,0,0
weekly,XLF,XLI,False,0.5794474694783814,False,,False,,0,0,0,0,0
weekly,XLF,XLU,False,0.5794474694783814,False,,False,,0,0,0,0,0
weekly,XLF,^GSPC,False,0.5794474694783814,False,,False,,0,0,0,0,0
weekly,XLB,XLK,False,0.5794474694783814,False,,False,,0,0,0,0,0
weekly,XLK,XLI,False,0.5794474694783814,False,,False,,0,0,0,0,0
weekly,XLP,XLY,False,0.5799427512367346,False,,False,,0,0,0,0,0
daily,XLV,XLP,False,0.5962443377706217,False,,False,,0,0,0,0,0
daily,XLP,XLK,False,0.5962443377706217,False,,False,,0,0,0,0,0
weekly,XLK,XLB,False,0.5978449455265381,False,,False,,0,0,0,0,0
weekly,XLP,XLK,False,0.6545581164146386,False,,False,,0,0,0,0,0
weekly,XLB,XLU,False,0.6681698361232215,False,,False,,0,0,0,0,0
daily,XLU,XLF,False,0.7026273826435123,False,,False,,0,0,0,0,0
weekly,XLF,XLB,False,0.70947358206753,False,,False,,0,0,0,0,0
weekly,XLU,^GSPC,False,0.70947358206753,False,,False,,0,0,0,0,0
daily,XLU,XLP,False,0.7764489617015448,False,,False,,0,0,0,0,0
weekly,XLK,^GSPC,False,0.8108329293428399,False,,False,,0,0,0,0,0
weekly,^GSPC,XLB,False,0.8108329293428399,False,,False,,0,0,0,0,0
daily,XLI,XLV,False,0.8369851885084643,False,,False,,0,0,0,0,0
weekly,XLY,XLP,False,0.8469783482837444,False,,False,,0,0,0,0,0
monthly,XLF,XLE,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLF,XLI,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLF,XLP,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLF,XLU,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLF,^GSPC,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLE,XLK,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLE,^GSPC,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLI,XLE,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLI,XLK,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLI,XLV,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLI,XLY,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLI,XLP,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLK,XLB,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLK,XLE,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLK,XLI,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLV,XLK,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLV,XLY,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLY,XLF,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLY,^GSPC,False,0.8538626436346859,False,,False,,0,0,0,0,0
monthly,XLU,XLK,False,0.8538626436346859,False,,False,,0,0,0,0,0
weekly,XLP,XLB,False,0.8564763886517429,False,,False,,0,0,0,0,0
daily,XLF,XLV,False,0.8685789616400189,False,,False,,0,0,0,0,0
daily,XLU,XLV,False,0.8685789616400189,False,,False,,0,0,0,0,0
weekly,XLP,XLI,False,0.8853697418382539,False,,False,,0,0,0,0,0
daily,XLF,XLP,False,0.8901884104548178,False,,False,,0,0,0,0,0
daily,XLB,XLU,False,0.8901884104548178,False,,False,,0,0,0,0,0
daily,XLU,^GSPC,False,0.8901884104548178,False,,False,,0,0,0,0,0
daily,XLF,XLK,False,0.8931779062437584,False,,False,,0,0,0,0,0
daily,XLP,XLF,False,0.8955492755175001,False,,False,,0,0,0,0,0
monthly,XLF,XLB,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLF,XLY,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLB,XLE,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLB,XLV,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLB,XLY,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLB,XLP,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLI,XLB,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLP,XLB,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLU,XLI,False,0.9024743853675048,False,,False,,0,0,0,0,0
monthly,XLU,^GSPC,False,0.9024743853675048,False,,False,,0,0,0,0,0
weekly,XLF,XLP,False,0.9087827657621044,False,,False,,0,0,0,0,0
weekly,XLI,XLV,False,0.9087827657621044,False,,False,,0,0,0,0,0
weekly,XLP,XLV,False,0.9087827657621044,False,,False,,0,0,0,0,0
weekly,XLP,^GSPC,False,0.9087827657621044,False,,False,,0,0,0,0,0
weekly,XLU,XLP,False,0.9087827657621044,False,,False,,0,0,0,0,0
monthly,XLB,XLU,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLE,XLP,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLY,XLI,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLP,XLF,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLP,XLU,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLP,^GSPC,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLU,XLB,False,0.9170699507860252,False,,False,,0,0,0,0,0
monthly,XLU,XLV,False,0.9170699507860252,False,,False,,0,0,0,0,0
weekly,XLF,XLV,False,0.9189945266975386,False,,False,,0,0,0,0,0
weekly,XLK,XLV,False,0.9189945266975386,False,,False,,0,0,0,0,0
weekly,XLK,XLU,False,0.9189945266975386,False,,False,,0,0,0,0,0
weekly,XLY,XLI,False,0.9189945266975386,False,,False,,0,0,0,0,0
weekly,XLY,XLU,False,0.9206342640126158,False,,False,,0,0,0,0,0
monthly,XLI,^GSPC,False,0.9301121460970108,False,,False,,0,0,0,0,0
weekly,XLF,XLK,False,0.9518062149425844,False,,False,,0,0,0,0,0
weekly,XLE,XLP,False,0.9518062149425844,False,,False,,0,0,0,0,0
weekly,XLI,XLP,False,0.9518062149425844,False,,False,,0,0,0,0,0
weekly,XLI,XLU,False,0.9518062149425844,False,,False,,0,0,0,0,0
weekly,XLK,XLP,False,0.9518062149425844,False,,False,,0,0,0,0,0
weekly,XLY,XLV,False,0.9518062149425844,False,,False,,0,0,0,0,0
monthly,XLF,XLK,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLB,XLI,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLE,XLB,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLE,XLV,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLE,XLU,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLI,XLF,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLK,XLF,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLV,XLP,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLV,XLU,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLY,XLE,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLP,XLI,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLP,XLK,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLP,XLY,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLU,XLF,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,^GSPC,XLV,False,0.9519896961406096,False,,False,,0,0,0,0,0
monthly,XLP,XLV,False,0.9524350473104156,False,,False,,0,0,0,0,0
monthly,XLY,XLP,False,0.9561922181172514,False,,False,,0,0,0,0,0
daily,XLB,XLY,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLB,^GSPC,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLK,XLF,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLK,XLV,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLV,XLE,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLV,XLI,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLV,XLU,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLU,XLY,False,0.9580886540099957,False,,False,,0,0,0,0,0
daily,XLP,XLV,False,0.959348725620477,False,,False,,0,0,0,0,0
monthly,XLP,XLE,False,0.985530035087578,False,,False,,0,0,0,0,0
weekly,XLP,XLF,False,0.9855976678875552,False,,False,,0,0,0,0,0
weekly,XLP,XLE,False,0.9855976678875552,False,,False,,0,0,0,0,0
monthly,XLB,XLF,False,0.9896058225276642,False,,False,,0,0,0,0,0
weekly,XLI,XLK,False,0.993958127043172,False,,False,,0,0,0,0,0
weekly,XLI,^GSPC,False,0.993958127043172,False,,False,,0,0,0,0,0
weekly,XLK,XLE,False,0.993958127043172,False,,False,,0,0,0,0,0
weekly,XLY,XLE,False,0.993958127043172,False,,False,,0,0,0,0,0
weekly,XLP,XLU,False,0.993958127043172,False,,False,,0,0,0,0,0
daily,XLV,^GSPC,False,0.9981312810422828,False,,False,,0,0,0,0,0
